Results_Name,VSPAERO_Rotor
Results_Timestamp,1730281840
Results_Date,10,30,2024
Results_Time,9,50,40
Group_Name,PropGeom_Surf_1
J,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01,5.669300000000000450e-01
Moment,3.699999999999999817e-02,2.540000000000000036e-01,1.910000000000000031e-01,1.869999999999999996e-01,1.990000000000000102e-01,2.069999999999999896e-01,2.039999999999999869e-01,2.079999999999999905e-01,2.099999999999999922e-01,2.129999999999999949e-01,2.089999999999999913e-01,2.099999999999999922e-01,2.109999999999999931e-01,2.129999999999999949e-01,2.139999999999999958e-01,2.129999999999999949e-01,2.109999999999999931e-01,2.109999999999999931e-01,2.079999999999999905e-01,2.109999999999999931e-01,2.149999999999999967e-01,2.139999999999999958e-01,2.099999999999999922e-01,2.139999999999999958e-01,2.109999999999999931e-01,2.159999999999999976e-01,2.230000000000000038e-01,2.179999999999999993e-01,2.139999999999999958e-01,2.149999999999999967e-01,2.139999999999999958e-01,2.169999999999999984e-01,2.250000000000000056e-01,2.210000000000000020e-01,2.159999999999999976e-01,2.179999999999999993e-01,2.190000000000000002e-01,2.270000000000000073e-01,2.439999999999999947e-01,2.290000000000000091e-01,2.220000000000000029e-01,2.260000000000000064e-01,2.210000000000000020e-01,2.330000000000000127e-01,2.520000000000000018e-01,2.069999999999999896e-01,2.010000000000000120e-01,2.030000000000000138e-01,2.020000000000000129e-01,2.069999999999999896e-01,2.109999999999999931e-01,2.089999999999999913e-01,2.069999999999999896e-01,2.069999999999999896e-01,2.049999999999999878e-01,2.079999999999999905e-01,2.099999999999999922e-01,2.159999999999999976e-01,2.129999999999999949e-01,2.129999999999999949e-01
Momenti,3.300000000000000155e-02,2.439999999999999947e-01,1.829999999999999960e-01,1.789999999999999925e-01,1.910000000000000031e-01,1.990000000000000102e-01,1.960000000000000075e-01,2.000000000000000111e-01,2.020000000000000129e-01,2.049999999999999878e-01,2.010000000000000120e-01,2.020000000000000129e-01,2.030000000000000138e-01,2.049999999999999878e-01,2.059999999999999887e-01,2.049999999999999878e-01,2.030000000000000138e-01,2.030000000000000138e-01,2.000000000000000111e-01,2.030000000000000138e-01,2.069999999999999896e-01,2.059999999999999887e-01,2.030000000000000138e-01,2.059999999999999887e-01,2.039999999999999869e-01,2.079999999999999905e-01,2.139999999999999958e-01,2.099999999999999922e-01,2.059999999999999887e-01,2.059999999999999887e-01,2.059999999999999887e-01,2.089999999999999913e-01,2.159999999999999976e-01,2.119999999999999940e-01,2.079999999999999905e-01,2.099999999999999922e-01,2.109999999999999931e-01,2.179999999999999993e-01,2.330000000000000127e-01,2.200000000000000011e-01,2.129999999999999949e-01,2.169999999999999984e-01,2.129999999999999949e-01,2.240000000000000047e-01,2.389999999999999902e-01,1.990000000000000102e-01,1.940000000000000058e-01,1.950000000000000067e-01,1.940000000000000058e-01,1.990000000000000102e-01,2.030000000000000138e-01,2.010000000000000120e-01,1.990000000000000102e-01,1.990000000000000102e-01,1.980000000000000093e-01,2.000000000000000111e-01,2.020000000000000129e-01,2.079999999999999905e-01,2.049999999999999878e-01,2.049999999999999878e-01
Momento,5.000000000000000104e-03,1.000000000000000021e-02,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.999999999999999320e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.999999999999999320e-03,8.999999999999999320e-03,8.000000000000000167e-03,8.999999999999999320e-03,8.000000000000000167e-03,8.999999999999999320e-03,1.099999999999999936e-02,8.999999999999999320e-03,8.000000000000000167e-03,8.999999999999999320e-03,8.000000000000000167e-03,8.999999999999999320e-03,1.200000000000000025e-02,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,7.000000000000000146e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03
Power,1.954500000000000171e+01,1.331970000000000027e+02,9.997400000000000375e+01,9.767499999999999716e+01,1.042360000000000042e+02,1.084180000000000064e+02,1.066689999999999969e+02,1.088080000000000069e+02,1.101440000000000055e+02,1.114230000000000018e+02,1.092339999999999947e+02,1.101149999999999949e+02,1.106620000000000061e+02,1.117099999999999937e+02,1.121359999999999957e+02,1.116209999999999951e+02,1.104129999999999967e+02,1.104749999999999943e+02,1.088610000000000042e+02,1.105030000000000001e+02,1.124950000000000045e+02,1.119129999999999967e+02,1.102129999999999939e+02,1.122609999999999957e+02,1.106730000000000018e+02,1.132560000000000002e+02,1.165829999999999984e+02,1.141260000000000048e+02,1.120270000000000010e+02,1.123250000000000028e+02,1.118179999999999978e+02,1.135769999999999982e+02,1.177729999999999961e+02,1.154929999999999950e+02,1.132840000000000060e+02,1.143780000000000001e+02,1.144639999999999986e+02,1.186460000000000008e+02,1.279479999999999933e+02,1.199650000000000034e+02,1.160130000000000052e+02,1.181359999999999957e+02,1.158499999999999943e+02,1.221080000000000041e+02,1.317719999999999914e+02,1.083160000000000025e+02,1.053829999999999956e+02,1.063499999999999943e+02,1.056189999999999998e+02,1.085040000000000049e+02,1.104680000000000035e+02,1.093659999999999997e+02,1.083820000000000050e+02,1.082439999999999998e+02,1.074809999999999945e+02,1.089240000000000066e+02,1.098239999999999981e+02,1.130819999999999936e+02,1.117180000000000035e+02,1.115220000000000056e+02
Poweri,1.710999999999999943e+01,1.278850000000000051e+02,9.590200000000000102e+01,9.371200000000000330e+01,1.000499999999999972e+02,1.042780000000000058e+02,1.024509999999999934e+02,1.045510000000000019e+02,1.058370000000000033e+02,1.070840000000000032e+02,1.050030000000000001e+02,1.058340000000000032e+02,1.064789999999999992e+02,1.075169999999999959e+02,1.078370000000000033e+02,1.073670000000000044e+02,1.062309999999999945e+02,1.062590000000000003e+02,1.047890000000000015e+02,1.063479999999999990e+02,1.081749999999999972e+02,1.076380000000000052e+02,1.060390000000000015e+02,1.079459999999999980e+02,1.065570000000000022e+02,1.089950000000000045e+02,1.119969999999999999e+02,1.097019999999999982e+02,1.077560000000000002e+02,1.079710000000000036e+02,1.076569999999999965e+02,1.093119999999999976e+02,1.130669999999999931e+02,1.109879999999999995e+02,1.089680000000000035e+02,1.098379999999999939e+02,1.102180000000000035e+02,1.141719999999999970e+02,1.222540000000000049e+02,1.152139999999999986e+02,1.115849999999999937e+02,1.134579999999999984e+02,1.115990000000000038e+02,1.173340000000000032e+02,1.254009999999999962e+02,1.042480000000000047e+02,1.014240000000000066e+02,1.023220000000000027e+02,1.017099999999999937e+02,1.044210000000000065e+02,1.062159999999999940e+02,1.052049999999999983e+02,1.042960000000000065e+02,1.041260000000000048e+02,1.034929999999999950e+02,1.048659999999999997e+02,1.056719999999999970e+02,1.087129999999999939e+02,1.074459999999999980e+02,1.072900000000000063e+02
Powero,2.435000000000000053e+00,5.312000000000000277e+00,4.072000000000000064e+00,3.963999999999999968e+00,4.185999999999999943e+00,4.139000000000000234e+00,4.216999999999999638e+00,4.256999999999999673e+00,4.307999999999999829e+00,4.339000000000000412e+00,4.230999999999999872e+00,4.280000000000000249e+00,4.184000000000000163e+00,4.192999999999999616e+00,4.299000000000000377e+00,4.253999999999999559e+00,4.182000000000000384e+00,4.216000000000000192e+00,4.072000000000000064e+00,4.155000000000000249e+00,4.320000000000000284e+00,4.275000000000000355e+00,4.174000000000000377e+00,4.314000000000000057e+00,4.115999999999999659e+00,4.261000000000000121e+00,4.586000000000000298e+00,4.424000000000000377e+00,4.270999999999999908e+00,4.352999999999999758e+00,4.160000000000000142e+00,4.264999999999999680e+00,4.706999999999999851e+00,4.504999999999999893e+00,4.315999999999999837e+00,4.541000000000000369e+00,4.245000000000000107e+00,4.474999999999999645e+00,5.693999999999999950e+00,4.751000000000000334e+00,4.427999999999999936e+00,4.677999999999999936e+00,4.251000000000000334e+00,4.774000000000000021e+00,6.371999999999999886e+00,4.067999999999999616e+00,3.959000000000000075e+00,4.027999999999999581e+00,3.908999999999999808e+00,4.083000000000000185e+00,4.251999999999999780e+00,4.160999999999999588e+00,4.084999999999999964e+00,4.118000000000000327e+00,3.987999999999999989e+00,4.057999999999999829e+00,4.152000000000000135e+00,4.368999999999999773e+00,4.272000000000000242e+00,4.232000000000000206e+00
RPM,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03,5.000001000000000204e+03
Rotor_Num,1
